,humidity,rain,temperature,timestamp,hour,t_Delta,h_Delta,r_Delta
19,45.5,175,17,10,10,0.399999999999999,-1.7,-25
1176,50.1,101,19.7,10.008,10,0.100000000000001,0,-2
1347,75.3,107,10.1,10.016,10,0.200000000000001,0.400000000000006,-5
1970,62.5,220,9.9,10.02,10,0,5.2,0
587,60.5,130,8.2,10.031,10,0.100000000000001,1.5,-2
841,57.9,125,14.7,10.042,10,0.100000000000001,-1.5,0
1748,64.3,223,14.9,10.046,10,0.4,-3.3,-1
375,52.3,167,13.4,10.058,10,0.0999999999999996,-1.2,-11
473,36.4,125,15.3,10.061,10,-0.300000000000001,4.4,4
131,57.9,170,11.8,10.07,10,0.0999999999999996,-0.799999999999997,-15
717,65.4,129,7.9,10.073,10,0.4,1.89999999999999,0
241,55.2,174,16.3,10.073,10,0.0999999999999979,-0.400000000000006,2
1287,57.8,103,12.9,10.078,10,0.0999999999999996,-0.599999999999994,0
901,52.2,100,17.6,10.085,10,0.0999999999999979,-1.40000000000001,1
1471,74.8,223,13,10.086,10,0.300000000000001,-1.3,-4
20,43.8,150,17.4,10.086,10,0.100000000000001,-1.09999999999999,4
1348,75.7,102,10.3,10.102,10,0.199999999999999,-1.60000000000001,6
1971,67.7,220,9.9,10.106,10,0,-1.7,1
588,62,128,8.3,10.117,10,0.399999999999999,0.600000000000001,0
842,56.4,125,14.8,10.128,10,0.199999999999999,0.5,-1
1749,61,222,15.3,10.132,10,0.5,-0.200000000000003,0
376,51.1,156,13.5,10.144,10,-0.0999999999999996,-0.100000000000001,0
474,40.8,129,15,10.148,10,-0.0999999999999996,4.2,-5
132,57.1,155,11.9,10.158,10,0.0999999999999996,-1,2
242,54.8,176,16.4,10.159,10,0.200000000000003,-0.0999999999999943,-23
718,67.3,129,8.3,10.159,10,0.199999999999999,-2.2,-2
1288,57.2,103,13,10.164,10,0.0999999999999996,1.2,0
1472,73.5,219,13.3,10.172,10,-0.100000000000001,-1,3
2077,70.7,219,13.9,10.172,10,0.0999999999999996,-0.200000000000003,-1
21,42.7,154,17.5,10.172,10,0.399999999999999,-0.100000000000001,11
902,50.8,101,17.7,10.172,10,0.100000000000001,1.5,1
1177,50.1,99,19.8,10.182,10,0.5,-2.6,0
1349,74.1,108,10.5,10.189,10,0.0999999999999996,0.700000000000003,-5
1972,66,221,9.9,10.192,10,0,-4.9,-1
589,62.6,128,8.7,10.203,10,0.100000000000001,-1.7,-1
843,56.9,124,15,10.214,10,0.0999999999999996,-2.1,2
1750,60.8,222,15.8,10.22,10,0.0999999999999996,-0.199999999999996,0
377,51,156,13.4,10.23,10,0.4,0.200000000000003,13
475,45,124,14.9,10.234,10,-0.0999999999999996,1.7,2
133,56.1,157,12,10.244,10,0.300000000000001,1.8,-3
243,54.7,153,16.6,10.245,10,0.799999999999997,-2.1,3
719,65.1,127,8.5,10.245,10,0.0999999999999996,0.5,-1
1289,58.4,103,13.1,10.25,10,0.200000000000001,-1.5,-1
22,42.6,165,17.9,10.258,10,0.100000000000001,-0.700000000000003,-13
903,52.3,102,17.8,10.258,10,0.399999999999999,-2.09999999999999,0
1473,72.5,222,13.2,10.258,10,0.200000000000001,-0.299999999999997,-4
1178,47.5,99,20.3,10.268,10,0.0999999999999979,0.299999999999997,0
1350,74.8,103,10.6,10.276,10,0.5,-3.2,1
1973,61.1,220,9.9,10.278,10,0.199999999999999,-4.4,1
590,60.9,127,8.8,10.289,10,0,-0.600000000000001,4
844,54.8,126,15.1,10.3,10,0.200000000000001,0.200000000000003,0
1751,60.6,222,15.9,10.306,10,-0.300000000000001,0.399999999999999,1
378,51.2,169,13.8,10.316,10,0.199999999999999,-0.900000000000006,-13
476,46.7,126,14.8,10.319,10,-0.100000000000001,1.2,-1
134,57.9,154,12.3,10.33,10,0.0999999999999996,-2,23
244,52.6,156,17.4,10.331,10,-0.0999999999999979,-0.300000000000004,16
