,humidity,rain,temperature,timestamp,hour
0,61.5,125,13.8,2024-08-28 08:21:44.525000,8
1,58.2,173,14,2024-08-28 08:26:54.088000,8
2,58.6,172,14.1,2024-08-28 08:32:05.827000,9
3,58.3,161,14,2024-08-28 08:37:16.258000,9
4,57.2,157,14.2,2024-08-28 08:42:26.438000,9
5,56,149,14.3,2024-08-28 08:47:39.335000,9
6,57,173,14.3,2024-08-28 08:52:49.092000,9
7,53.8,165,14.6,2024-08-28 08:57:58.608000,9
8,55.6,154,14.8,2024-08-28 09:03:08.063000,9
9,53.3,175,15.2,2024-08-28 09:08:17.513000,9
10,52.6,151,15.6,2024-08-28 09:13:26.975000,9
11,50.4,163,15.8,2024-08-28 09:18:38.180000,9
12,48.3,172,16,2024-08-28 09:23:53.232000,9
13,48.4,165,16,2024-08-28 09:29:03,9
14,48.8,175,15.9,2024-08-28 09:34:12.385000,10
15,49.6,157,16,2024-08-28 09:39:21.843000,10
16,47.3,163,16.2,2024-08-28 09:44:31.294000,10
17,47.7,151,16.2,2024-08-28 09:49:40.755000,10
18,48.7,171,16.6,2024-08-28 09:54:50.209000,10
19,45.5,175,17,2024-08-28 09:59:59.668000,10
20,43.8,150,17.4,2024-08-28 10:05:09.229000,10
21,42.7,154,17.5,2024-08-28 10:10:18.677000,10
22,42.6,165,17.9,2024-08-28 10:15:28.137000,10
23,41.9,152,18,2024-08-28 10:20:37.601000,10
24,40.7,172,18.2,2024-08-28 10:25:47.160000,10
25,40.3,173,18.2,2024-08-28 10:30:56.615000,10
26,40.7,177,18.1,2024-08-28 10:36:06.167000,11
27,39.9,152,17.9,2024-08-28 10:41:15.833000,11
28,40.1,151,17.7,2024-08-28 10:46:25.599000,11
29,41.1,155,17.8,2024-08-28 10:51:34.954000,11
30,40.3,175,18,2024-08-28 10:56:44.829000,11
31,41.2,172,18.1,2024-08-28 11:01:54.280000,11
32,39.6,174,18.3,2024-08-28 11:07:03.743000,11
33,41.1,167,18.3,2024-08-28 11:12:13.195000,11
34,43.1,173,18.3,2024-08-28 11:17:22.651000,11
35,41.6,152,18.4,2024-08-28 11:22:32.535000,11
36,43.1,154,18.2,2024-08-28 11:27:43.947000,11
37,43.7,152,18,2024-08-28 11:32:53.373000,12
38,44.1,170,17.8,2024-08-28 11:38:02.834000,12
39,45.2,160,17.8,2024-08-28 11:43:13.336000,12
40,43.8,152,18.2,2024-08-28 11:48:22.769000,12
41,43.6,150,18.6,2024-08-28 11:53:35.197000,12
42,43.7,155,18.8,2024-08-28 11:58:44.854000,12
43,43.5,163,18.9,2024-08-28 12:03:54.321000,12
44,43.8,151,19,2024-08-28 12:09:03.704000,12
45,43.4,170,19.1,2024-08-28 12:14:15.209000,12
46,44.4,171,19.2,2024-08-28 12:19:24.848000,12
47,43.5,159,19.3,2024-08-28 12:24:34.328000,12
48,43.8,166,19.4,2024-08-28 12:29:43.651000,12
49,44.4,170,19.6,2024-08-28 12:34:53.105000,13
50,42.3,155,19.7,2024-08-28 12:40:02.459000,13
51,40.9,170,19.8,2024-08-28 12:45:11.836000,13
52,38.9,174,19.8,2024-08-28 12:50:21.171000,13
53,40,152,20,2024-08-28 12:55:30.628000,13
54,39.5,153,20.1,2024-08-28 13:00:39.978000,13
55,40.4,164,20.2,2024-08-28 13:05:49.349000,13
56,40.8,155,20.1,2024-08-28 13:10:58.707000,13
57,40.1,164,20,2024-08-28 13:16:08.154000,13
58,40.1,155,20.2,2024-08-28 13:21:17.529000,13
59,39.2,153,20.1,2024-08-28 13:26:26.858000,13
60,40.2,171,20.3,2024-08-28 13:31:38.314000,14
61,39.8,174,20.3,2024-08-28 13:36:47.755000,14
62,40.4,171,20.5,2024-08-28 13:41:57.174000,14
63,39.1,171,20.4,2024-08-28 13:47:07.576000,14
64,41,154,20.7,2024-08-28 13:52:16.809000,14
65,40.7,150,20.9,2024-08-28 13:57:30.570000,14
66,40.7,151,20.7,2024-08-28 14:02:40.023000,14
67,39.4,160,20.8,2024-08-28 14:07:49.482000,14
68,39.9,153,20.4,2024-08-28 14:12:58.834000,14
69,41.6,163,20.7,2024-08-28 14:18:08.210000,14
70,40,170,20.6,2024-08-28 14:23:17.755000,14
71,40,161,21,2024-08-28 14:28:27.102000,14
72,39.5,162,20.7,2024-08-28 14:33:36.669000,15
73,40.9,153,20.7,2024-08-28 14:38:46.326000,15
74,40.4,150,20.6,2024-08-28 14:43:55.676000,15
75,40.9,152,20.5,2024-08-28 14:49:05.144000,15
76,41.3,172,20.4,2024-08-28 14:54:14.600000,15
77,41.9,164,20.6,2024-08-28 14:59:23.953000,15
78,40.5,153,20.6,2024-08-28 15:04:34.538000,15
79,39.8,154,20.1,2024-08-28 15:09:43.888000,15
80,40.8,172,19.7,2024-08-28 15:14:53.346000,15
81,41.6,154,19.7,2024-08-28 15:20:05.377000,15
82,41.6,172,19.6,2024-08-28 15:25:15.231000,15
83,43.5,165,19.4,2024-08-28 15:30:24.899000,16
84,42.9,170,19.4,2024-08-28 15:35:34.461000,16
85,42.8,170,19.5,2024-08-28 15:40:44.024000,16
86,44,152,19.4,2024-08-28 15:45:53.472000,16
87,44.8,154,19.1,2024-08-28 15:51:05.364000,16
88,44.9,151,18.8,2024-08-28 15:56:15.370000,16
89,44.9,180,19.3,2024-08-28 16:01:28.287000,16
